Type,Calcium,CalciumPer,Protein,ProteinPer,Fat,FatPer,Vitamin,VitaminPer,Sugar,SugarPer,Energy,EnergyPer
2Percentmilk,293,59,8.05,47,4.83,21,584,53,12.35,41,50,8
Almond,451,90,1.01,6,2.5,11,600,55,15,50,91,15
NonFat,299,60,8.26,49,0.2,1,615,56,12.47,42,83,14
SoyMilk,301,60,6.95,41,3.91,17,622,57,1,3,80,13
WholeMilk,276,55,7.69,45,7.93,34,519,47,12.32,41,149,25
